Author,News_statement,Source,Validity_Check
Madeline Heim,"""Our Supreme Court has never taken away a constitutional right.""",Tammy Baldwin,Fake
Analisa Trofimuk,"""We need to realize that people who think that ‘well, maybe if we could just implement tougher gun laws, it’s going to solve it,’ Chicago and LA and New York disprove that thesis.""",Greg Abbott,Fake
Samantha Putterman,Speedway is offering $500 fuel cards for $1.95 to help customers with rising fuel costs.,Facebook posts,Fake
Clara Hendrickson,"""Dead people always vote Democrat.""",Kevin Rinke,Fake
Monique Curet,The World Economic Forum has its own police force.,Charlie Kirk,Fake
Gabrielle Settles,Aaron Salter Jr. was killed by a mass shooter because he was working on creating a water-powered car engine.,Facebook posts,Fake
Maria Ramirez,Increased encounters at the southwest border in April 2022 compared to April 2020 are attributable to changes in border policy.,Mark Brnovich,Fake
Samantha Putterman,A Costco gas pump screen said “Don’t blame us. Blame Joe Biden.”,Viral image,Fake
Yacob Reyes,"""Florida man on drugs kills imaginary friend and turns himself in.”",Facebook posts,Fake
Jeff Cercone,"""Pfizer CEO says it’s their dream to reduce the population by 50% in 2023.”",Bloggers,Fake
Louis Jacobson,“Nobody in any election in America gets 74% of the votes. Ever. It doesn’t happen.”,Emerald Robinson,Fake
Madison Czopek,"Active shooter drill at high school in Uvalde, Texas, two months before the elementary school shooting shows the event was a false flag.",Instagram posts,Fake
Samantha Putterman,"The man who killed the Uvalde, Texas, school shooter “wasn't even an on-duty police officer.”",Facebook posts,Fake
Jeff Cercone,TV interviews with two different men who are each identified as Uvalde victim's father show the Robb Elementary School mass shooting was staged.,Tweets,Fake
Jill Terreri,Bill Gates planned a smallpox-type outbreak.,Facebook posts,Fake
D.L. Davis,"In the immediate wake of a fire and vandalism at the Madison headquarters of an anti-abortion group, Democrats had not condemned “activists who are engaging in this repugnant illegal activity.”",Ron Johnson,Fake
Louis Jacobson,"In 2013, under a Democratic Senate, ""a majority of the Senate voted in favor of"" gun-related legislation sponsored by Republican Sens. Chuck Grassley and Ted Cruz, “but the Democrats filibustered it.”",Ted Cruz,Real
Samantha Putterman,“These mass shootings happen so much that Ted Cruz really got a template ready to tweet whenever they occur.”,Tweets,Fake
Yacob Reyes,“There hasn't been a single of these mass shootings that have been purchased at a gun show or on the internet.”,Marco Rubio,Fake
Ciara O'Rourke,Says Gov. Greg Abbott offered the uncle of a Uvalde shooting victim money to say “we don’t need stronger gun laws.”,Tweets,Fake
Samantha Putterman,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022.",Facebook posts,Fake
Gabrielle Settles,There’s a “‘positive correlation’ between higher mask usage and COVID-19 deaths.”,Facebook posts,Fake
Lyle Muller,"“Zack Nunn saved over 2,000 Americans abandoned in Afghanistan by leading private rescue missions.”",Zach Nunn,Real
Jeff Cercone,"""More people die from hands, fists, feet, than rifles.”",Facebook posts,Real
Jill Terreri,Lee Zeldin “voted for Cuomo’s Billion Dollar Tax hike and every Cuomo budget.”,Harry Wilson,Real
Ciara O'Rourke,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,Facebook posts,Fake
Samantha Putterman,Studies show plastics can help combat climate change.,Facebook posts,Real
Gabrielle Settles,A CNN story reported that Rice Krispies added a transgender mascot.,Instagram posts,Fake
Yacob Reyes,“Florida Highway Patrol has a semi-truck … The FHP uses a fleet of three such ‘hidden in plain sight’ trucks to snitch on bad drivers.”,Facebook posts,Real
Nusaiba Mizan,"ICE está en Uvalde, Texas, “entonces los padres indocumentados tienen que temer la deportación antes de verificar si sus hijos están vivos"".",Tweets,Fake
Jeff Cercone,"They passed the flu off as COVID-19, and “they’re going to do the same thing with monkeypox and shingles.”",Facebook posts,Fake
Madison Czopek,“We know from past experiences that the most effective tool for keeping kids safe is armed law enforcement on the campus.”,Ted Cruz,Fake
Laura Schulte,On Gov. Tony “Evers’ watch…the efficiency of the state crime lab has plummeted.”,Republican Party of Wisconsin,Fake
Jon Greenberg,"""When we passed the assault weapons ban, mass shootings went down. When the law expired, mass shootings tripled.""",Joe Biden,Real
Samantha Putterman,"ABC News altered the Uvalde, Texas, school shooter’s photo to appear more Caucasian.",Tweets,Fake
Ciara O'Rourke,"Texas is ""50th in the nation in mental health care access.""",Beto O'Rourke,Real
Nusaiba Mizan,"ICE is in Uvalde, Texas, “so undocumented parents have to consider arrest deportation before they go check to see if their kids are alive.”",Tweets,Fake
Maria Ramirez,"This image shows the victims of the school shooting in Uvalde, Texas.",Facebook posts,Fake
Monique Curet,Suggests a January traffic accident involving lab monkeys was responsible for spreading monkeypox to humans.,Facebook posts,Fake
Amy Sherman,"“90% of Americans, regardless of political party, want universal background checks.”",Steve Kerr,Real
Tom Kertscher,"“50% of the guns sold in Texas, because of the loopholes, do not pass through a background check.”",Matthew Dowd,Fake
Monique Curet,"El atacante en Uvalde, Texas estaba en Estados Unidos ilegalmente.",Facebook posts,Fake
Paul Specht,Cheri Beasley “vacated” a man’s death sentence and “threw out” the indictment in a child assault case.,National Republican Senatorial Committee,Real
Louis Jacobson,"“Most of these killers tend to be 18, 19 years old.”",Chris Murphy,Real
Ciara O'Rourke,“They just exposed Mark Zuckerberg as a CIA agent.”,Facebook posts,Fake
Ciara O'Rourke,"Photos of a person in a skirt show the Uvalde, Texas, school shooter.",Facebook posts,Fake
Maria Ramirez,Esta imagen muestra a las víctimas del tiroteo en la escuela en Uvalde Texas.,Facebook posts,Fake
Ciara O'Rourke,"The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”",Facebook posts,Fake
Monique Curet,“American journalist” Jack Posobiec was “arrested at World Economic Forum.”,Donald Trump Jr.,Fake
Monique Curet,"The Uvalde, Texas, mass shooter was an “illegal alien.”",Facebook posts,Fake
Madison Czopek,“Swedish health authorities considering introducing restrictions because of monkeypox outbreak.”,Facebook posts,Fake
Ciara O'Rourke,"The shooting at an elementary school in Uvalde County, Texas, was a false flag.",Tweets,Fake
Monique Curet,The current monkeypox outbreak was planned by government and industry leaders.,Facebook posts,Fake
Jon Greenberg,“J.D. Vance profits off Russia propaganda.”,Tim Ryan,Real
Ciara O'Rourke,Monkeypox “was created in a lab and given via injection.”,Facebook posts,Fake
Ciara O'Rourke,Monkeypox is biological warfare “against us by our governments.”,Facebook posts,Fake
Sara Swann,The United States can’t import baby formula because of the U.S.-Mexico-Canada Agreement.,Facebook posts,Fake
Ciara O'Rourke,“Bill Gates is behind the monkeypox outbreaks.”,Facebook posts,Fake
Monique Curet,"The World Health Assembly was canceled ""after the Geneva airport was coincidentally blown up.""",Facebook posts,Fake
Louis Jacobson,"Stacey Abrams ""supported the MLB boycott.""",Chris Carr,Fake
Vanessa Swales,"In a recent year, the Milwaukee Police Department ""collected more guns per capita off the streets than in New York.”",Cavalier Johnson,Real
Samantha Putterman,"A Mars Rover photo captured by NASA shows a doorway, suggesting extraterrestrial life.",Facebook posts,Fake
Ciara O'Rourke,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,Viral image,Fake
Amy Sherman,Georgia Gov. Brian Kemp “allowed 7.5 million ballots to be sent to every registered voter.”,David Perdue,Fake
Louis Jacobson,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”",Gary Black,Real
Ciara O'Rourke,A 2021 article about monkeypox that used a photo of a shingles rash proves the monkeypox virus is a hoax.,Facebook posts,Fake
Monique Curet,"“Americans can get up to $50k in relief” from a “new benefit that just got released last week.""",Facebook posts,Fake
Ciara O'Rourke,Photos of monkeypox lesions prove the current virus outbreak is a hoax.,Facebook posts,Fake
Warren Fiske,Merrick Garland “sicced the police on parents when they were at the school boards simply trying to be heard for the safety of their children.”,Winsome Earle-Sears,Fake
Ciara O'Rourke,"“Indiana woman charged for mail in voter fraud, delivered 400 ballots with Democrat box pre-checked.”",Viral image,Real
Samantha Putterman,"Supreme Court Justice Clarence Thomas and his wife Ginni posted a photo of themselves enjoying a $5,135 bottle of wine “as American women despair about abortion rights being taken away from them.”",Tweets,Fake
Ciara O'Rourke,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,Facebook posts,Fake
Ciara O'Rourke,Video shows “Russian tank column totally destroyed by attack helicopter.”,Facebook posts,Fake
D.L. Davis,Says Gov. Tony Evers is “a big proponent of this defund the police movement.”,Rebecca Kleefisch,Fake
Tom Kertscher,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",Brian Kemp,Fake
Madison Czopek,Says Fox News and Candace Owens tweeted that “New studies show that 68% of those who used ivermectin to treat or prevent covid are suffering long-term bowel and urinary incontinence.”,Facebook posts,Fake
Monique Curet,"“(Pfizer) says do not breastfeed. Baby formula shortages everywhere. Gates promotes brand new artificial breast milk technology. All within less than a 2 week period. …Nothing to see here.""",Facebook posts,Fake
Monique Curet,“Don't let this formula shortage scare you!!! Make your baby some hemp milk w/sea moss. It’s easy I promise!”,Facebook posts,Fake
Ciara O'Rourke,A photo of Ukrainians with paintball guns proves the war is staged.,Viral image,Fake
Amy Sherman,"Georgia Secretary of State Brad Raffensperger used ""$50 million of Zuckerberg money"" in 2020 to ""tip the scales.""",Jody Hice,Fake
Monique Curet,"""In Iran, if a 12-year-old girl is raped and impregnated by her father, she must carry the baby to term, or be thrown in prison for life. Wait, sorry, no, That's Alabama.""",Instagram posts,Fake
Louis Jacobson,Agriculture “is still the No. 1 sector of the economy” in Georgia.,Gary Black,Fake
Ciara O'Rourke,"Students in Wilkes County, North Carolina, “identify themselves as cats or ‘furries’” and “have asked for litter boxes to be placed in school restrooms for them to use.”",Facebook posts,Fake
Jon Greenberg,“The Biden administration is bringing amendments that would propose that all nations of the earth cede their sovereignty over national health care decisions to the WHO.”,Michele Bachmann,Fake
Ciara O'Rourke,"News interview proves that the Buffalo, New York supermarket shooting was staged.",Instagram posts,Fake
Ciara O'Rourke,“Soldiers destroyed Russian tank with NLAW in ambush.”,Viral image,Fake
Madison Czopek,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”,Facebook posts,Fake
Nusaiba Mizan,"""Under Greg Abbott, property taxes have gone up $20 billion.""",Beto O'Rourke,Real
Ciara O'Rourke,Goat’s milk is a good substitute for baby formula.,Facebook posts,Fake
Ciara O'Rourke,“Breaking: Democrats introduce bill to put Americans in quarantine camps.”,Bloggers,Fake
Monique Curet,“Due to the baby formula shortage Tricare will now pay to have it shipped directly to you.”,Facebook posts,Real
Amy Sherman,The problem with mail ballots in Lancaster County is a sign of “voter fraud.”,Tweets,Fake
Ciara O'Rourke,Photo from “data leak at Elon Musk AND NASA … are said to be from one of Elon Musk’s Space-X satellites.”,Viral image,Fake
Ciara O'Rourke,"CBS News reported that two more suspects were arrested in the Buffalo shooting, and that one more victim was identified.",Viral image,Fake
Samantha Putterman,"“79% of Planned Parenthood clinics are in minority neighborhoods. This is not by accident. That is by its founder, Margaret Sanger's, eugenicist design.""",Candace Owens,Fake
Ciara O'Rourke,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,Facebook posts,Fake
Gabrielle Settles,"The mass shooting in Buffalo, New York was a “false flag event.”",Tweets,Fake
Maria Ramirez,“The vast majority of individuals that we’re releasing out are not showing up for hearings.”,James Lankford,Fake
Ciara O'Rourke,Your state will send you free infant formula if you call Enfamil and Similac customer service numbers.,Facebook posts,Fake
Ciara O'Rourke,Amazon will ship baby formula to U.S. addresses if you change your preferred country on its website from the U.S. to Canada.,Facebook posts,Fake
Bill McCarthy,"A reporter who covered the Buffalo supermarket shooting was a ""crisis actor.""",Instagram posts,Fake
Monique Curet,Donations of baby formula to Ukraine helped cause the current U.S. shortage.,Facebook posts,Fake
Louis Jacobson,"“When unemployment goes down, inflation goes up.”",Nancy Pelosi,Fake
Ciara O'Rourke,Images show Joe Biden surrounded by U.S. Marshals.,Facebook posts,Fake
Ciara O'Rourke,Mark Zuckerberg was arrested.,Facebook posts,Fake
Yacob Reyes,"“Disney stock is down more than 70% and attendance is down more than 55%! 10.1 million people canceled their Disney+ subscription.""",Facebook posts,Fake
Ciara O'Rourke,No planes are visible in footage of the 9/11 attack.,Viral image,Fake
Tom Kertscher,"Kathy Barnette ""pretends she's America First, but repeatedly attacked President Trump.""",Our American Century,Real
Laura Schulte,"“Title 42 has fueled the border crisis. In 2019, 7 percent of illegal border crossings were repeated crossings. Today the rate is 27 percent.”",Tom Nelson,Real
Jon Greenberg,“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,Blake Masters,Fake
Tom Kertscher,Says she never tweeted comments linking pedophilia and Islam.,Kathy Barnette,Fake
Madison Czopek,"“We have 76% of Americans living paycheck to paycheck, meaning they are one paycheck away from poverty.”",Facebook posts,Fake
Monique Curet,Suggests Megan Thee Stallion was not shot in the foot.,Facebook posts,Fake
Ciara O'Rourke,“Finland joins NATO.”,Facebook posts,Fake
Gabrielle Settles,The NewProfilePic app is Russian spyware.,Facebook posts,Fake
Paul Specht,"State Sen. Kirk deViere voted against Medicaid expansion, the governor’s budget and teacher raises.",North Carolina Futures Action Fund,Fake
Louis Jacobson,“When President Biden took office … there was no vaccine available.”,Joe Biden,Fake
Ciara O'Rourke,“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,Viral image,Fake
Ciara O'Rourke,Photos of the alleged Buffalo shooting gunman show two different people.,Facebook posts,Fake
Yacob Reyes,“It costs more to live in many Florida cities than New York City.”,Charlie Crist,Real
Jon Greenberg,"“Kathy Barnette wants to build a statue of Barack Obama right next to the one of Abraham Lincoln on Capitol Hill.""",USA Freedom Fund,Real
Madison Czopek,Says the Biden administration is choosing to send baby formula to the border as one of its “out-of-touch priorities.”,Greg Abbott,Fake
Louis Jacobson,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,Kathy Barnette,Real
Monique Curet,Homemade baby formula recipes offer a ‘viable option’ during U.S. shortage,Facebook posts,Fake
Jon Greenberg,“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”,Lindsey Graham,Real
Louis Jacobson,“Agriculture is the No. 1 industry here in Pennsylvania.”,Kathy Barnette,Fake
Louis Jacobson,"“My Treasury Department is planning to pay down the national debt this quarter, which never happened under my predecessor.”",Joe Biden,Real
Monique Curet,Says people can follow a 1960 recipe for homemade baby formula as a workaround during the current shortage.,Facebook posts,Fake
Alan Hovorka,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",Tom Tiffany,Fake
Monique Curet,Suggests Amber Heard snorted cocaine while on the stand in court.,Facebook posts,Fake
Samantha Putterman,The infant formula shortage was purposely created because Mark Zuckerberg and Bill Gates invested in artificial breast milk.,Facebook posts,Fake
Tom Kertscher,"""Kari Lake has been appearing at rallies with neo-Nazis,"" while ""two federal juries have found"" Katie Hobbs ""guilty of racial discrimination.""",Aaron Lieberman,Fake
Yacob Reyes,"“Is ANYONE asking how Ron DeSantis was worth $340,000 in 2020 and is now worth $52 million?""",Tweets,Fake
Gabrielle Settles,"An adenovirus is a combination of viruses, gastrointestinal virus, pneumonia and COVID-19 mixed together to “kill our children.”",Facebook posts,Fake
Warren Fiske,“CO2 is not a pollutant.”,Suburban Virginia Republican Coalition,Fake
Samantha Putterman,Supreme Court Justices Amy Coney Barrett and Samuel Alito said that the U.S. needs a “domestic supply of infants” to meet the needs of parents seeking to adopt.,Facebook posts,Fake
Monique Curet,"Says photo shows ""one of Tesla's lithium supply mines where entire mountains are eliminated.""",Facebook posts,Fake
D.L. Davis,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",Kelda Helen Roys,Real
Jeff Cercone,"Video shows abortion rights activist urging women to ""run on down to the abortion clinic"" if they get pregnant.",Facebook posts,Fake
Tom Kertscher,Mehmet Oz is “pro-abortion.”,Dave McCormick,Fake
Monique Curet,"Says photo shows ""the sharpest image of the sun ever recorded.""",Facebook posts,Fake
Monique Curet,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",Facebook posts,Fake
Monique Curet,"""148th Kentucky Derby winner Rich Strike jockey Sonny Leon just turned down a White House invite, saying 'If I wanted to see a horse's ass, I would have came (sic) in second.’""",Facebook posts,Fake
Monique Curet,"Margaret Sanger, founder of Planned Parenthood, referred to Black women as weeds that needed to be plucked from their garden, and was a supporter of the Ku Klux Klan and a Democrat.",Peggy Hubbard,Fake
D.L. Davis,"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",Eric Toney,Real
Lyle Muller,"“Senator Grassley hopped off the Finance Committee, where he could be helpful to Iowa and the nation, in favor of the Judiciary Committee""",Mike Franken,Fake
Jeff Cercone,"""GOP Sen. Marsha Blackburn has proposed that birth control should only be legal for MARRIED couples.”",Tweets,Fake
Samantha Putterman,"“Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”",Pam Keith,Fake
Nusaiba Mizan,"""In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.""",Alexandria Ocasio-Cortez,Fake
Ciara O'Rourke,"The “Franklin scandal” broke in 1989 “when hundreds of children were apparently flown around the US to be abused by high ranking ‘Establishment’ members.""",Facebook posts,Fake
Madison Czopek,"“Tylenol is the #1 cause of acute liver failure in the US with 27% of people dying & kills at least 100,000 per year from its use.”",Facebook posts,Fake
Ciara O'Rourke,“Hillary Clinton is in jail at Gitmo at the moment.”,Facebook posts,Fake
Ciara O'Rourke,“Elon Musk just fired the entire Twitter board of directors.”,Facebook posts,Fake
Ciara O'Rourke,“Italian football agent Mino Raiola has died after suffering from an illness.”,Facebook posts,Fake
Yacob Reyes,"Elon Musk tweeted, “The fact that an 18 year old can't take out a $10,000 business loan” but “can take out a $100,000 student loan tells you everything you need to know.”",Facebook posts,Fake
D.L. Davis,"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",Melissa Agard,Real
Samantha Putterman,“Biden to teachers: ‘They're not somebody else's children. They're yours when you're in the classroom.’”,Republican National Committee,Fake
Ciara O'Rourke,“Alkaline foods” can heal the body of cancer.,Facebook posts,Fake
Ciara O'Rourke,"“Disneyland estates have been used for MK-ULTRA mind control, human trafficking, occult rituals, and parading sexual deviants.”",Viral image,Fake
Jon Greenberg,"Says J.D. Vance said, “People who voted for Trump voted for him for racist reasons.”",Club for Growth,Fake
Ciara O'Rourke,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",Facebook posts,Fake
Jeff Cercone,"""With 40 billion dollars, Elon Musk could have given each of the 330M people living in America a million dollars and still had $7B left over.”",Facebook posts,Fake
Madison Czopek,“The Red Cross sells your donated blood to hospitals for $150 and then that hospital charges you thousands for a blood transfusion.”,Facebook posts,Real
Ciara O'Rourke,Wearing foot patches can help adults grow inches in weeks.,Facebook posts,Fake
Ciara O'Rourke,A video shows “satanic death cult high priestess” Oprah Winfrey condoning and promoting “pedophilia and sex trafficking.”,Facebook posts,Fake
Jeff Cercone,"Blinken, Austin trip to Kyiv may have been staged",Michael Savage,Fake
Tom Kertscher,Mehmet Oz “was a spokesman for a group who wanted to defund the police.”,Pennsylvania Conservative Fund,Fake
Bill McCarthy,Elon Musk suspended Bill Gates from Twitter.,Tweets,Fake
Ciara O'Rourke,Photo of unbroken windows proves war in Ukraine is fake.,Viral image,Fake
Yacob Reyes,“DeSantis erases Disney’s tax exempt law. Will cost Disney $200 Mil in taxes. Per year!”,Facebook posts,Fake
Elizabeth Egan,"In 2021, “11,201 pounds of fentanyl were seized by Customs and Border Protection, which is enough to kill every American nearly seven times over.”",Claudia Tenney,Real
Vanessa Swales,"""Ron Johnson pushed through a special tax loophole that benefited his own family's business … Then he cashed out of the company for $5 million … (he has) doubled his wealth since taking office.""",Opportunity Wisconsin,Real
Ciara O'Rourke,“Marines are investigating 3 ancient pyramids discovered in Antarctica.”,Bloggers,Fake
Ciara O'Rourke,You can “reverse HIV naturally.”,Facebook posts,Fake
Luiz Romero,"“Congratulations to Ruben, knighted by the Queen. Now goes by the name, Sir Ruben.”",Facebook posts,Fake
Bill McCarthy,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,Facebook posts,Fake
Ciara O'Rourke,Says a Fox New chyron said the Snickers candy bar is changing its texture because of “cancel culture.”,Viral image,Fake
Ciara O'Rourke,“The same system that kept you in the dark about Ghislaine Maxwell…doesn’t mind live-streaming Johnny Depp’s trial.”,Viral image,Fake
Paul Specht,"Former Gov. Pat McCrory appointed liberals to the North Carolina Textbook Commission, which “mandated textbooks” pushing critical race theory.",School Freedom Fund,Fake
Amy Sherman,A consent decree approved by Gov. Brian Kemp “invalidated all voter ID law” and “allowed fraudulent ballots to be accepted” in the 2020 race.,David Perdue,Fake
Jeff Cercone,Fires at food processing plants are an “attempt to starve us.”,Facebook posts,Fake
Jeff Cercone,Hepatitis outbreak in kids may be related to Johnson & Johnson COVID-19 vaccine.,Instagram posts,Fake
Samantha Putterman,“Finnish Court rules sex with children is permitted.”,Instagram posts,Fake
Nusaiba Mizan,"""We have (people detained by ICE) that have to be seen within 24 hours, while veterans are seen within months.",Tim Westley,Fake
Bill McCarthy,A video shows the Russian warship Moskva exploding.,TikTok posts,Fake
Bill McCarthy,“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.,Facebook posts,Fake
Samantha Putterman,Bath and Body Works products are not recommended during pregnancy because they are suspected of “damaging fertility or the unborn child.”,Facebook posts,Fake
Paul Specht,“Most Americans favor keeping Title 42 in place.”,Thom Tillis,Real
Amy Sherman,Brian Kemp and Secretary of State Brad Raffensperger “perhaps in collusion with the Radical Left Democrats” are attempting to “unseat” U.S. Rep. Marjorie Taylor Greene.,Donald Trump,Fake
Louis Jacobson,"""For four years, I was a full professor at the University of Pennsylvania.""",Joe Biden,Real
Tom Kertscher,“J.D. Vance called for higher taxes.”,Mike Gibbons,Real
Tom Kertscher,"""As Ohio treasurer, Josh Mandel loaned your money to Chinese business interests, and Mandel opposed a bill holding Communist China accountable when they cheated and stole American jobs.""",Mike Gibbons,Fake
Yacob Reyes,Says he has “always” believed “in a woman’s right to choose.”,Charlie Crist,Fake
Monique Curet,Dr. Anthony Fauci said lockdowns are a method for coercing people to comply with COVID-19 vaccinations.,Facebook posts,Fake
Laura Schulte,“Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”,Mike Gallagher,Real
Monique Curet,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",Facebook posts,Fake
Monique Curet,"Lilibet, baby daughter of the Duke and Duchess of Sussex, ""made her first appearance with the queen.”",Facebook posts,Fake
Monique Curet,Arnold Schwarzenegger slept on the ground in front of a bronze statue of himself because he had been turned away from a hotel.,Facebook posts,Fake
Colleen DeGuzman,“The price of insulin increases as waistlines increase.”,Matt Gaetz,Fake
Samantha Putterman,A Reddit post shows a parent admitting to forcing their child to continue transitioning by sneaking hormone medication.,Tweets,Fake
Monique Curet,"Vladimir Putin “ended the Rothschild's control over Russia by nationalizing the Russian centralized bank.""",Facebook posts,Fake
Jon Greenberg,"Joe Biden's spending “has sent prices skyrocketing.""",Jane Timken,Real
Louis Jacobson,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",Raphael Warnock,Real
Ciara O'Rourke,A photo shows students in Lviv celebrating Adolf Hitler’s birthday.,Tweets,Fake
Ciara O'Rourke,“Hunter Biden arrested this morning.”,Facebook posts,Fake
Luiz Romero,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",Facebook posts,Fake
Ciara O'Rourke,Footage of the Bidens celebrating Easter at the White House is fake.,Facebook posts,Fake
Ciara O'Rourke,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",Facebook posts,Fake
Samantha Putterman,The Australian Technical Advisory Group on Immunisation advised that the COVID-19 vaccine may be given to patients under sedation for unrelated procedures without consent as a way to force compliance.,Instagram posts,Fake
Bill McCarthy,"COVID-19 is a synthetic version of “snake venom” that evil forces are spreading through remdesivir, the COVID-19 vaccines and drinking water to “make you a hybrid of Satan.”","""Watch The Water""",Fake
Gabrielle Settles,"President Joe Biden was confused, “turned around and shook hands with thin air” after a speech.",Facebook posts,Fake
D.L. Davis,"If Wisconsin Gov. Tony Evers ""had passed his (gas) tax increases ... fuel prices would be at least a dime higher.",Tony Kurtz,Real
Tom Kertscher,"Dave McCormick is ""liberal, pro-Biden, pro-China.""",Mehmet Oz,Fake
Warren Fiske,"“They’re going to be giving these people who come across the border, giving them smartphones.”",Rob Wittman,Real
Jeff Cercone,"""No one visiting Disney can get in” because of protest.",Facebook posts,Fake
Ciara O'Rourke,"“If your roommate catches HIV, you will be exposed to it and will probably contract it too, given long enough.”",Facebook posts,Fake
Monique Curet,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,Instagram posts,Fake
Ciara O'Rourke,Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”,Viral image,Fake
Monique Curet,March 2022 moon crash was orchestrated by the government and visible from Earth.,Facebook posts,Fake
Monique Curet,Fuel containing 15% ethanol will ruin a car engine.,Facebook posts,Fake
Samantha Putterman,Ukraine was responsible for the Kramatorsk train station bombing.,Facebook posts,Fake
Jeff Cercone,"MSNBC’s Mika Brzezinski said, “Elon Musk is trying to control how people think. That’s our job.”",Facebook posts,Fake
Ciara O'Rourke,"Says Adolf Hitler said, “The day mankind finds out what I was trying to defend this nation, Germany, from, then that’s the day World War III starts.”",Viral image,Fake
Sara Swann,“It’s been proven that sugar triggers and causes cancer. … So the best thing to do to prevent cancer is to avoid sugar.”,Facebook posts,Fake
Yacob Reyes,George Soros injected “$33 million” into Black Lives Matter.,Facebook posts,Fake
Yacob Reyes,"“Disney lost 172,000 reservations recently, valued at around $636 (million) in revenue lost.”",Facebook posts,Fake
Samantha Putterman,“Leftist justice reform” is the reason that the NYC subway shooting suspect wasn’t in jail at the time of the attack.,Facebook posts,Fake
Analisa Trofimuk,"The Biden Administration is engaging in extreme ‘woke’ politics by encouraging children to take chemical castration drugs and undergo surgeries, and they are lying to children by telling them puberty blockers are ""reversible.""",Mary Miller,Fake
Jill Terreri,“Cities in notoriously ‘tough on crime’ states like Texas and Florida saw a more significant increase in violent crime than cities in NYS.”,Crystal Peoples-Stokes,Real
Madeline Heim,"""Ron Johnson is trying to let insurance companies deny coverage to people with pre-existing conditions like cancer, depression, pregnancy, diabetes—or even COVID.”",Sarah Godlewski,Fake
Tom Kertscher,"Mehmet Oz ""called for a New Zealand-style gun ban"" and said ""Americans should have less access to guns.""",Dave McCormick,Real
Samantha Putterman,McDonald’s added xylitol to its ice cream which is toxic to dogs.,Facebook posts,Fake
Samantha Putterman,The Brooklyn subway attack was a false flag.,Facebook posts,Fake
Gabrielle Settles,“Just passed into law today: You cannot go 5 miles over speed limit” in North Carolina.,Facebook posts,Fake
Tom Kertscher,"Brian Kemp ""dismissed concerns about voter fraud in the 2020 election"" and ""widespread illegal ballot harvesting continued, electing two Democrat senators.""",Get Georgia Right,Fake
Andy Nguyen,"""Joe Biden is giving smartphones away to illegal border crossers.”",Facebook posts,Real
Jeff Cercone,“A bird pooped on Joe Biden during his speech” in Iowa.,Facebook posts,Fake
Monique Curet,Video of a Q&A response from Amazon’s Alexa confirms that chemtrails are being used “to reduce the human population.”,TikTok posts,Fake
Monique Curet,Suggests ivermectin is an effective treatment for COVID-19,One America News,Fake
Ciara O'Rourke,Sen. Marsha Blackburn made a white power symbol at Ketanji Brown Jackson.,Tweets,Fake
Ciara O'Rourke,Gilbert Gottfried died from the COVID-19 vaccine.,Tweets,Fake
